author_id,author_name
0,Lisa Genova
1,James Frey
2,Mia Sheridan
3,J.A. Redmerski
4,D.H. Lawrence
5,Ally Condie
6,Alex Haley
7,Sara Gruen
8,Bram Stoker
9,Michelle Hodkin
10,Andre Dubus III
11,Laura Hillenbrand
12,André Aciman
13,Dave Pelzer
14,Edith Hamilton
15,Pat Conroy
16,Judy Blume
17,Jeannette Walls
18,Shannon Messenger
19,Bryce Courtenay
20,Lewis Carroll
21,Amy Tan
22,Nick Hornby
23,Charlie Donlea
24,Jeffrey Eugenides
25,Ralph Ellison
26,Rebecca Skloot
27,Robin Waterfield
28,Jean M. Auel
29,Anne Rice
30,William Gibson
31,Delia Owens
32,Douglas Adams
33,Elizabeth Kostova
34,Johann Wolfgang von Goethe
35,Trenton Lee Stewart
36,Francine Rivers
37,Sharon Creech
38,James Clavell
39,Dennis Lehane
40,H.D. Carlton
41,John Fowles
42,John Steinbeck
43,Michael Shaara
44,Anthony Burgess
45,Joanne Harris
46,Ned Vizzini
47,Dave Eggers
48,Lionel Shriver
49,E. Lockhart
50,R.J. Palacio
51,Tracy Chevalier
52,William Faulkner
53,Mark Twain
54,Jules Verne
55,Stephen Chbosky
56,Emily Brontë
57,Edgar Allan Poe
58,Annie Proulx
59,Robert Ludlum
60,A.A. Milne
61,Katherine Paterson
62,David McCullough
63,Richard Bachman
64,George R.R. Martin
65,Colleen McCullough
66,Robert A. Heinlein
67,Abraham   Verghese
68,Victoria E. Schwab
69,Steven D. Levitt
70,J.R.R. Tolkien
71,Frank Herbert
72,Taylor Jenkins Reid
73,Leigh Bardugo
74,Christopher Paolini
75,Richard Matheson
76,أحمد جمال الدين رمضان
77,Diane Setterfield
78,John Kennedy Toole
79,Khaled Hosseini
80,Ann Patchett
81,Elizabeth Gaskell
82,Fyodor Dostoevsky
83,Chaim Potok
84,Dee Brown
85,Erin Hunter
86,Isaac Asimov
87,Lao Tzu
88,Philippa Gregory
89,Dan       Brown
90,Erich Segal
91,Ali Hazelwood
92,Jim Butcher
93,Therisa Peimer
94,Lemony Snicket
95,Leo Tolstoy
96,Stephenie Meyer
97,Mary Ann Shaffer
98,J.M. Barrie
99,William Shakespeare
100,Dante Alighieri
101,James Herriot
102,Franz Kafka
103,Ruta Sepetys
104,Jerry Spinelli
105,Paulo Coelho
106,John Ajvide Lindqvist
107,Isabel Allende
108,Harper Lee
109,Holly Black
110,Billie Letts
111,Justin Cronin
